Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J0620.5-2512,95.1445,-25.2129,232.78638,-17.597942,13.224834,4.7763327E-10,5.796496E-11,5.9187317E-12,7.866007E-13,LogParabola,2.5687912,0.06458643,879.3801,2.6703813,0.12742105,0.37485573,0.114532776,16,bcu,PKS 0618-252,0.9954874,0.97296584,bzcat,95.1338207625,-25.254857075,1.3E-07,RFC J0620-2515,Gaia DR2: 2900269163040999424,18.4284,1.9,LSP,4365158400000.0,1.1820586E-12,76.72476,0.78415656,0.2298949,10.0
4FGL J0651.0+4013,102.7724,40.232,175.9286,17.066418,15.5503025,5.230335E-10,4.9806378E-11,5.8188324E-12,5.490136E-13,PowerLaw,2.0929277,0.069333576,1932.6355,2.0366385,0.09343887,0.0649752,0.049023166,0,bcu,RX J0651.0+4013,0.99979603,0.96918476,whsp2,102.772559958,40.2272493611,2.9E-07,RFC J0651+4013,Gaia DR2: 950634218618567936,17.3645,-inf,HSP,2818383000000000.0,3.4343693E-12,13.134207,0.2316454,0.13818061,158.604
4FGL J0704.7+4508,106.1893,45.1358,171.93477,21.07924,5.363727,1.8811447E-10,3.8086093E-11,2.230974E-12,4.557437E-13,PowerLaw,2.266041,0.14255981,1633.234,2.1970766,0.22596233,0.25996712,0.19332537,0,bcu,B3 0701+451,0.90637743,0.0,crates,106.212371871,45.0449491806,4E-07,RFC J0704+4502,Gaia DR2: 953406014416620544,18.407,-inf,LSP,40738030000000.0,1.0069943E-12,4.66098,0.0,10.0,10.0
4FGL J0715.3-6828,108.8281,-68.4827,279.59036,-22.970757,4.0888886,1.507036E-10,3.6896437E-11,1.7646426E-12,4.845129E-13,PowerLaw,2.244681,0.20566617,2285.6426,2.321065,0.16172713,-0.06327803,0.06361946,0,bcu,PMN J0715-6829,0.9985186,0.9648395,cgrabs,108.789580183,-68.4995078222,1.9E-07,RFC J0715-6829,Gaia DR2: 5268935178584432384,18.3665,-inf,,0.0,0.0,7.3882713,0.17624928,0.77463764,10.0
4FGL J0723.7+2050,110.949,20.8373,197.43155,16.21535,9.411329,2.929183E-10,4.401122E-11,3.2635116E-12,4.8990423E-13,PowerLaw,2.018382,0.12227867,2774.5981,2.0935833,0.11469736,-0.05091963,0.04515899,0,bcu,GB6 J0723+2051,0.9992874,0.82461226,whsp2,110.951425254,20.8585496583,5.8E-07,RFC J0723+2051,Gaia DR2: 3363819107783382912,17.2285,-inf,HSP,7079458000000000.0,2.4966116E-12,8.099048,0.17308767,0.33523092,49.2078
4FGL J0728.0+6735,112.0212,67.5991,148.25266,28.396929,7.3657722,1.0845177E-10,2.5999841E-11,3.498356E-12,4.685332E-13,PowerLaw,3.0044036,0.12532748,331.7624,2.992689,0.13960978,0.015757998,0.08292993,0,bcu,NVSS J072854+673225,0.0,0.8396696,nvss,112.045398521,67.8130647667,8.8E-08,RFC J0728+6748,Gaia DR2: 1108100948190241408,18.2031,0.846,LSP,5308844300000.0,1.9126389E-12,9.41544,0.20589362,0.19999067,10.0
4FGL J0733.4+5152,113.3619,51.8798,166.02148,27.314451,10.732144,2.3888466E-10,3.6771045E-11,2.9497969E-12,4.4903897E-13,PowerLaw,1.8014475,0.09857864,4748.61,1.7569335,0.124697745,0.040473443,0.054163523,0,bcu,NVSS J073326+515355,0.9976766,0.9575205,whsp2,113.361632921,51.8988647056,1.4E-06,RFC J0733+5153,Gaia DR2: 983550229499566336,17.454,0.065,HSP,7.5857755E+16,4.450133E-12,14.966967,0.48297548,0.25475308,171.4
4FGL J0749.4+1058,117.3728,10.9781,209.48143,17.80562,11.306188,3.8385217E-10,4.7659883E-11,4.8550595E-12,5.619618E-13,PowerLaw,2.3524144,0.09734383,1192.7727,2.3588045,0.09577605,-0.011334038,0.04014388,4,bcu,TXS 0746+110,0.99204403,0.91158813,crates,117.364105617,10.9592018472,1.6E-07,RFC J0749+1057,Gaia DR2: 3150660224479442688,17.8625,0.214,ISP,146217720000000.0,1.4839217E-12,12.551591,0.25367475,0.17145854,32.9318
4FGL J0800.3+5611,120.0813,56.1888,161.59348,31.701422,9.198904,2.0806128E-10,3.2350015E-11,2.3161516E-12,3.6067907E-13,PowerLaw,2.0248637,0.11505492,2644.216,1.918043,0.17522492,0.10316869,0.09524877,0,bcu,1RXS J080017.3+561116,0.9964421,0.872407,whsp2,120.064694817,56.1853692833,7.4E-07,RFC J0800+5611,Gaia DR2: 1081130061103135104,18.442,-inf,,0.0,0.0,7.101829,0.08895981,0.6378762,46.2374
4FGL J0804.9-0624,121.2325,-6.4056,227.33052,13.173616,13.137863,4.4042459E-10,5.877159E-11,5.238871E-12,6.8517235E-13,PowerLaw,1.8535768,0.08751564,4362.9126,1.7137842,0.13729016,0.14426087,0.07525455,0,bcu,1RXS J080458.3-062432,0.9995237,0.9815116,whsp2,121.24057975,-6.40727851667,3.3E-07,RFC J0804-0624,Gaia DR2: 3067018347730169216,18.0896,0.43,,0.0,0.0,6.99099,0.0,10.0,93.302
